Country,Withhoding Tax Type,Withhoding Tax Code,Name,Scection
IN,IH,I5,Inv - Professional Fees -HUF/Indiv@ 7.5%,194J
IN,IH,I6,Inv - Professional Fees -HUF/Indiv @ 1.5,194J
IN,IH,I7,Inv - Professional Fees -HUF/Indiv @ 2%,194J
IN,IH,I8,Inv - Prof Fees W/O PAN -HUF/Indiv @ 20%,194J
IN,IH,I9,Inv - Professional Fees -HUF/Indiv @ 10%,194J
IN,IH,I@,Inv - Professional Fees -Sec:206AB @ 20%,194J
IN,II,I1,Inv - Int. O/T Int on Sec- Co/Firm @ 10%,194I
IN,II,I2,Inv - Int. O/T IOS W/O PAN-Co/Firm @ 20%,194A
IN,II,I8,Inv - Int. O/T IOS W/O PAN-HUF/Ind @ 10%,194A
IN,II,I9,Inv - Int. O/T Int on Sec-HUF/Ind @ 10%,194A
IN,IK,I5,Inv - FOREIGN REMITTANCE @ 30.9%,195
IN,IK,I6,Inv - FOREIGN REMITTANCE @ 10%,195
IN,IN,I1,Inv - Contract - Co/Firms @ 1%,194C
IN,IN,I2,Inv - Contract - Co/Firms @ 0.75%,194C
IN,IO,I1,194Q:TDS on Purchase of goods-0.1% - INV,194Q
IN,IO,I2,194Q:TDS 5% - INV on Non PAN,194Q
IN,IP,I1,194R:TDS BENEFITS/PERQUISITE-10% - INV,194R
IN,IP,I2,194R:TDS 20% - INV on Non PAN Base,194R
IN,PA,P1,Pay - Contract - Co/Firms @ 2%,194C
IN,PA,P2,Pay  - Contract W/O PAN - Co/Firms @ 20%,194C
IN,PA,P3,Pay - Contract - Co/Firms @ 1.50%,194C
IN,PA,P4,Pay -Contract -Co/Firms Sec:206AB@5%,194C
IN,PA,P7,Inv - Contract - HUF/Indiv @ 0.75%,194C
IN,PA,P8,Pay  - Contract W/O PAN - HUF/Indiv@ 20%,194C
IN,PA,P9,Inv - Contract - HUF/Indiv @ 1%,194C
IN,PB,P1,Pay - Transports - Co/Firms @ 2%,194C
IN,PB,P2,Pay - Transports W/O PAN - Co/Firm @ 20%,194C
IN,PB,P3,Pay -Transports Co/Firm Sec:206AB@ 5%,194C
IN,PB,P8,Pay - Transports W/O PAN - HUF/Ind @ 20%,194C
IN,PB,P9,Pay - Transports - HUF/Ind @ 1%,194C
IN,PC,P1,Pay - Advert. / Subcon - Co/Firms @ 2%,194C
IN,PC,P2,Pay - Adv/Subcon W/O PAN - Co/Firms @20%,194C
IN,PC,P3,Pay-Adv/Subcon Sec:206AB - Co/Firms @5%,194C
IN,PC,P8,Pay - Adv/Subcon W/O PAN - HUF/Indiv@20%,194C
IN,PC,P9,Pay - Advert. / Subcon - HUF/Indiv @ 1%,194C
IN,PD,P1,Pay - Ins. Commission - Co/Firm @10%,194D
IN,PD,P2,Pay - Ins. Comm W/O PAN - Co/Firm @ 20%,194C
IN,PD,P8,Pay - Ins. Comm W/O PAN - HUF/Ind @ 20%,194D
IN,PD,P9,Pay - Ins. Commission - HUF/Ind @ 10%,194C
IN,PE,P1,Pay - Commission/Brok. - Co/Firm @ 5%,194H
IN,PE,P2,Pay - Comm/Brok. W/O PAN - Co/Firm @ 20%,194H
IN,PE,P3,Pay - Commission/Brok. - Co/Firm @ 3.75%,194H
IN,PE,P4,Pay - Commission/Brok.Sec:206AB @ 10%,194H
IN,PE,P5,Pay-Commis/Brok.Sec:206AB@10%(Non CO),194H
IN,PE,P7,Pay - Ins. Commission - HUF/Ind @ 3.75%,194H
IN,PE,P8,Pay - Comm/Brok W/O PAN -HUF/Indiv @ 20%,194H
IN,PE,P9,Pay - Ins. Commission - HUF/Ind @ 5%,194H
IN,PF,P1,Pay - Rent - Co/Firms @ 10%,194I
